flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
0,47,17,182,179,475,27,207,202,600,7,33,85.0,33.0,149.0,22,6,0,1,1,0,0,0,1,1,1,2,7,16.0,0.0,3,10
0,11,24,142,139,354,27,138,180,900,5,31,79.0,14.0,83.0,20,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,7,11,137,5,23,21,13,104,700,8,33,82.0,34.0,173.0,8,6,0,1,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10
1,10,0,16,337,104,2,417,13,2000,10,19,86.0,19.0,70.0,13,0,1,3,1,0,0,0,1,1,1,2,10,16.0,0.0,8,10
1,45,1,343,330,173,18,405,131,3000,10,19,132.0,2.0,55.0,13,0,2,3,1,1,1,0,1,1,2,0,10,20.0,45.0,8,10
1,46,1,77,352,83,2,464,165,400,5,33,82.0,38.0,195.0,15,0,0,1,1,0,0,0,0,1,2,2,5,20.0,0.0,8,10
1,35,24,436,234,98,27,247,1,1500,10,15,91.0,2.0,155.0,1,0,2,3,1,0,0,0,1,1,1,1,10,16.0,0.0,3,10
1,37,5,22,339,96,16,427,144,600,8,33,112.0,9.0,110.0,14,0,1,1,1,1,0,0,1,1,2,2,8,20.0,30.0,8,10
1,9,1,436,333,375,2,439,81,500,6,33,79.0,26.0,190.0,13,0,0,1,1,0,0,0,0,1,2,2,6,20.0,0.0,8,10
1,26,0,178,355,214,27,448,43,3000,5,14,73.0,17.0,110.0,15,0,1,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,49,24,66,287,263,2,352,179,500,6,33,75.0,19.0,65.0,9,0,1,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
1,23,24,436,292,35,1,369,172,1000,8,12,125.0,24.0,115.0,10,0,1,1,1,1,0,1,1,1,0,0,8,30.0,45.0,15,10
0,1,19,337,209,249,27,182,162,400,5,33,114.0,14.0,39.0,23,6,2,1,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10
1,9,5,436,341,396,0,427,122,3000,12,19,81.0,0.0,100.0,14,0,2,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10
1,17,0,4,247,82,27,311,32,600,5,33,98.0,6.0,70.0,5,0,2,1,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10
0,11,24,278,61,85,27,70,187,900,5,31,76.0,28.0,95.0,15,6,0,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10
1,4,24,436,323,438,2,397,86,1200,5,6,100.0,7.0,65.0,12,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
